UserID,F,NR,value
1488977785,0,13,13
101918006,0,13,13
4777757559,0,13,13
105955076,0,13,13
3948466047,0,13,13
711734688,0,13,13
167107711,0,13,13
256514911,0,13,13
4798011916,0,13,13
3013468825,0,13,13
635745335,10,3,13
2212891281,3,10,13
404525685,0,13,13
1921931954,0,13,13
21743685,13,0,13
4820909939,0,13,13
306277683,13,0,13
286708292,13,0,13
14849562,13,0,13
360986207,13,0,13
7.40E+17,0,13,13
1235387239,0,13,13
1125937411,13,0,13
626045472,1,13,14
801698222,1,13,14
67407500,0,14,14
130408712,0,14,14
3238370479,0,14,14
3279022232,0,14,14
2628421441,0,14,14
7.30E+17,0,14,14
24655672,0,14,14
17082120,5,9,14
2197106143,1,13,14
901000160,1,13,14
392860200,4,10,14
4060960942,0,14,14
103750551,0,14,14
2754881394,0,14,14
362626833,0,14,14
3936263895,0,14,14
1317689665,8,6,14
26139323,0,14,14
462427721,2,12,14
528842323,0,14,14
29609464,0,14,14
47403889,0,14,14
800748296,5,9,14
15773072,3,11,14
604501850,0,14,14
3234876338,0,14,14
129807541,0,14,14
3101168904,0,14,14
2369506560,14,0,14
4129908561,0,14,14
1467578970,0,14,14
4019730797,0,14,14
134978155,0,14,14
2202221544,0,14,14
2257782784,0,14,14
3402520873,0,14,14
450991824,14,0,14
105845627,0,14,14
7.61E+17,0,14,14
132809440,14,0,14
91694469,0,14,14
4429531393,0,14,14
886479487,0,14,14
308676078,0,14,14
161387735,0,14,14
15328895,0,15,15
328440716,15,0,15
347913941,15,0,15
1702865540,0,15,15
264307945,1,14,15
2480119285,0,15,15
3042388781,0,15,15
3258510456,0,15,15
183166373,0,15,15
2151335464,0,15,15
2509524884,0,15,15
1367203292,0,15,15
4740033614,0,15,15
391889398,1,14,15
37811000,0,15,15
2735229048,0,15,15
4228429639,0,15,15
217392151,0,15,15
4829772623,0,15,15
203325246,0,15,15
2753743832,1,14,15
4831444266,0,15,15
780020227,1,14,15
1897869398,0,15,15
1575545688,0,15,15
2262055104,0,15,15
15617333,0,15,15
166001916,7,8,15
3103213542,0,15,15
3066863551,0,15,15
7.64E+17,0,15,15
3145848027,0,15,15
374331041,15,0,15
16349976,0,15,15
1549419390,0,15,15
3127589084,0,15,15
247767738,0,15,15
3387693651,0,15,15
2264043567,0,15,15
330156856,0,16,16
49021031,3,13,16
1496659987,1,15,16
1548714900,7,9,16
710087840,0,16,16
1979568403,15,1,16
593342422,0,16,16
3840405434,0,16,16
347292782,0,16,16
1242171468,16,0,16
1340184288,0,16,16
204195016,8,8,16
3304538513,0,16,16
3197788454,0,16,16
208106589,1,15,16
301148961,0,16,16
16672155,1,15,16
2868479584,0,16,16
1597398924,16,0,16
252551312,0,16,16
14515799,16,0,16
2329135073,0,16,16
154575252,0,16,16
93181919,0,17,17
3391532422,0,17,17
2601272874,0,17,17
855556087,5,12,17
192450756,2,15,17
7.64E+17,0,17,17
874869986,1,16,17
1476028855,8,9,17
2162983369,14,3,17
2181188602,0,17,17
396196960,0,17,17
3197722472,0,17,17
80919561,1,16,17
186749134,0,17,17
4190566692,0,17,17
4207543694,0,17,17
535951594,0,17,17
7.61E+17,0,17,17
3196826180,0,17,17
243199949,0,17,17
1112486646,6,11,17
3787380077,0,17,17
2726612325,0,17,17
2320647202,0,17,17
15815996,1,16,17
22616123,0,17,17
239025975,7,10,17
2822451711,0,17,17
2284695849,0,17,17
3086298863,0,17,17
276118165,0,17,17
869061648,0,17,17
298997025,1,16,17
31136700,17,0,17
1557547460,17,0,17
4797427108,0,17,17
3178111484,0,17,17
166999015,16,1,17
332977307,16,1,17
240334451,0,17,17
313536147,0,17,17
34947691,17,0,17
15487846,0,17,17
301692966,2,16,18
1650858084,2,16,18
2246767854,0,18,18
481457729,0,18,18
149283816,2,16,18
55344841,0,18,18
269992592,4,14,18
2767487316,0,18,18
2315874241,0,18,18
370002248,0,18,18
2896052759,0,18,18
203209540,0,18,18
320702253,0,18,18
113410319,1,17,18
40012474,6,12,18
387074628,0,18,18
311329542,0,18,18
1198252074,0,18,18
4207252558,0,18,18
3164009702,0,18,18
2788225609,6,12,18
1388257892,0,18,18
3392948538,0,18,18
16207883,0,18,18
3720171979,0,18,18
309190582,1,17,18
210714216,0,18,18
749756030,3,15,18
3018844283,0,18,18
24947112,0,18,18
49071001,0,18,18
7.50E+17,0,18,18
227323151,0,18,18
4741500379,0,18,18
2269453515,18,0,18
2667593627,0,18,18
2911220863,0,18,18
325492834,4,15,19
761809752,1,18,19
69264083,0,19,19
2206606894,19,0,19
4060453505,0,19,19
4060874122,0,19,19
23346365,0,19,19
113128420,0,19,19
4234451116,0,19,19
2581788782,0,19,19
3164636421,0,19,19
4508143937,0,19,19
2450106906,0,19,19
240697075,0,19,19
1327639712,0,19,19
3088448937,0,19,19
1057261784,19,0,19
620224412,0,19,19
16322041,0,20,20
2805625933,0,20,20
17494767,20,0,20
92102577,0,20,20
4060890436,0,20,20
4060916350,0,20,20
2383120732,0,20,20
2844276451,0,20,20
3787479377,0,20,20
851310092,0,20,20
26067145,2,18,20
16272844,0,20,20
796792574,0,20,20
2819336492,0,20,20
113779850,0,20,20
254873869,0,20,20
2999612262,0,20,20
2778186092,0,20,20
2916655037,0,20,20
4783269650,0,21,21
312248392,2,19,21
159447476,21,0,21
14752477,3,18,21
352935643,0,21,21
4220997023,0,21,21
4060483661,0,21,21
148007869,0,21,21
4427929816,0,21,21
134971995,9,12,21
4794955790,0,21,21
197447489,21,0,21
1686304976,0,21,21
55605517,0,21,21
75649353,0,22,22
2782049981,0,22,22
462673299,0,22,22
1057356487,5,17,22
514840885,0,22,22
2363248370,0,22,22
1152395600,0,22,22
2620052996,0,22,22
2539016140,0,22,22
342737639,22,0,22
1692174140,8,14,22
42858599,8,14,22
30389172,0,22,22
804982640,1,21,22
3294355670,0,22,22
308440526,0,22,22
49075903,0,23,23
16146535,4,19,23
4060841296,0,23,23
79882811,0,23,23
4409133627,0,23,23
3281958260,0,23,23
4385859743,0,23,23
533444481,0,23,23
1051922042,23,0,23
351148925,22,1,23
51321264,23,0,23
829684141,23,0,23
2425669675,0,23,23
598292943,0,23,23
2793357232,0,24,24
3179207340,0,24,24
1078663723,0,24,24
4055139069,0,24,24
4060874481,0,24,24
4054740795,0,24,24
10608212,0,24,24
131042554,0,24,24
473472787,4,20,24
161584662,0,24,24
1246880653,0,24,24
2191568058,0,25,25
2543549240,0,25,25
207249457,4,21,25
3774212776,0,25,25
1252997479,0,25,25
2925170690,0,25,25
66284799,24,1,25
2821858859,0,25,25
125632328,1,24,25
39347949,0,25,25
100531988,0,25,25
200752348,0,25,25
2317821817,0,26,26
5402612,1,25,26
1058005610,0,26,26
458443805,0,26,26
1610101572,26,0,26
571813503,0,27,27
621419621,8,19,27
319963230,0,27,27
3281029088,0,27,27
2652918403,0,28,28
492665799,0,28,28
2932753446,0,28,28
340708155,0,29,29
187214222,0,29,29
2296750843,0,29,29
604883440,5,24,29
3312417228,0,29,29
144110656,0,29,29
2152460449,0,29,29
66533920,0,29,29
299037268,0,29,29
2949185543,0,30,30
3325152053,0,30,30
3269457420,0,30,30
37842197,0,30,30
108912964,2,28,30
297162274,0,30,30
15640977,3,28,31
2897136909,0,31,31
389548615,0,31,31
197404857,0,31,31
3428532268,0,31,31
21457771,2,30,32
617619927,3,29,32
742143,1,31,32
4758011988,0,32,32
40477520,1,32,33
612473,0,33,33
1097027300,33,0,33
249118156,0,34,34
1543041314,0,34,34
35216399,34,0,34
506692540,0,34,34
76009410,0,34,34
2906718340,34,0,34
3308407241,0,35,35
2809901188,2,33,35
2795517045,10,25,35
1512247022,0,35,35
219533695,35,0,35
277439806,0,36,36
2976108017,0,36,36
2865992597,0,37,37
275942684,8,29,37
978671796,0,37,37
2203975074,0,38,38
426903572,0,38,38
3787360522,0,38,38
163903108,0,38,38
310493277,0,38,38
373864432,0,39,39
110970267,0,40,40
186700511,1,39,40
127289951,1,39,40
3787424723,0,40,40
2218595229,0,40,40
767036004,4,37,41
3242304054,0,41,41
325221033,0,41,41
59642573,0,42,42
404460410,42,0,42
815089381,0,42,42
4185160671,0,42,42
4791255802,0,43,43
2204798617,1,43,44
14577821,4,40,44
569028430,44,0,44
187964046,5,40,45
1176640496,0,46,46
163992822,5,41,46
850639772,0,48,48
1173824917,2,48,50
20715638,4,47,51
201129833,0,51,51
180317088,5,46,51
834672494,9,45,54
714926235,0,54,54
571107566,54,0,54
953546196,0,56,56
4319456714,0,57,57
18419778,0,58,58
4103007988,0,61,61
4641682463,0,72,72
2463065714,20,59,79
948708523,4,76,80
808596350,0,80,80
2403016908,0,85,85
874873962,0,88,88
75934946,138,1,139
